,0
AMZN,0.02571380355656617
META,0.020952293290404017
TSLA,0.013791902533122255
NVDA,0.017265353113485378
ABBV,0.03679163273934418
WMT,0.0399117148286695
GOOGL,0.02827942616343252
GE,0.024107979007198504
AAPL,0.028867735853263635
COP,0.021560603192960052
PFE,0.0337083170395224
JNJ,0.04672651617375589
C,0.024168993222151023
CAT,0.02829426286249162
MRK,0.037054312083820366
NFLX,0.02095292366264271
HD,0.03279861774615185
GS,0.027964916055504614
BAC,0.026686612357066104
JPM,0.029262738588175064
WFC,0.024392743888437388
PEP,0.04147439577670895
XOM,0.0279818838912784
PG,0.04455331392226389
UNH,0.02745076271398772
BA,0.018685137720595497
MSFT,0.03106262057157504
KO,0.0452506789430847
MCD,0.040485667238172256
SLB,0.01945790438927867
CVS,0.029919552578051112
CVX,0.02703406221796857
MS,0.026292964091714752
MMM,0.031097657987155164
